year,q,y,pchick,pbeef,pcor,pf,cpi,qprod,pop,meatex,time,ln_q,ln_y,ln_pch,ln_pb,z,z_sq,z_cu,z_lag,z_lag_sq
1962,20.6,9666,50,34.2,44.8,52.09133,30.2,4997189,186.538,46,53,3.0252910757955354,9.17636985240503,0.5041810810473221,0.12438371968773553,0.39436621504011554,0.15552471156506664,0.06133369184512102,0.411023766111992,0.1689405363088855
1963,21.1,9886,49.3,33.8,49.8,50.97588,30.6,5269019,189.242,80,54,3.0492730404820207,9.198874893866904,0.47692407209030924,0.09946079353063787,0.487014975072272,0.2371835859446457,0.1155119581963837,0.39436621504011554,0.15552471156506664
1964,21.3,10456,48.2,32.8,49.9,50.75279,31,5443769,191.889,78,55,3.0587070727153796,9.254931255304058,0.44137181657140845,0.05644131090495163,0.4760337982723267,0.22660817709757825,0.10787315126332825,0.487014975072272,0.2371835859446457
1965,22.9,10965,49.8,34.4,51.8,50.97588,31.5,5871560,194.303,49,56,3.131136910560194,9.302463660851988,0.4580274381990198,0.0880690185477652,0.49740260343384995,0.2474093499027718,0.12306205475551503,0.4760337982723267,0.22660817709757825
1966,24.5,11417,52.7,36.2,54.5,52.48173,32.4,6437127,196.56,44,57,3.1986731175506815,9.342858751676328,0.486457032749033,0.11090069603344174,0.5200422788709148,0.2704439718132543,0.1406422994086662,0.49740260343384995,0.2474093499027718
1967,25.1,11776,48.8,36.4,51.7,51.86824,33.4,6552305,198.712,45,58,3.2228678461377385,9.373818840968658,0.37917441287644676,0.08601287466004018,0.4369018815317288,0.1908832540859648,0.08339725286305708,0.5200422788709148,0.2704439718132543
1968,25.2,12196,51.2,37.9,45.5,49.5258,34.8,6653319,200.706,59,59,3.2268439945173775,9.408863308108145,0.3861221452650336,0.08533372530795198,0.2680949391764761,0.07187489641203841,0.01926929598190096,0.4369018815317288,0.1908832540859648
1969,26.3,12451,54.1,41.7,49.3,50.36239,36.7,7174882,202.677,87,60,3.269568939183719,9.429556219952412,0.3880574307919112,0.12772437374423118,0.29514732598811966,0.08711194403793737,0.025710857344423937,0.2680949391764761,0.07187489641203841
1970,27.4,12823,52.4,43.5,54.5,53.151,38.8,7686589,205.052,49,61,3.3105430133940246,9.458995712459116,0.3004863446977688,0.11434069146541066,0.33978045503997073,0.11545075762716957,0.03922791096126905,0.29514732598811966,0.08711194403793737
1971,27.4,13218,52.9,45.5,55.7,54.54531,40.5,7723561,207.661,57,62,3.3105430133940246,9.489334816030398,0.2671013647517603,0.11641035184441137,0.3186781728207449,0.10155577783236855,0.032363609719008715,0.33978045503997073,0.11545075762716957
1972,28.3,13692,53.4,49.7,52.1,54.82417,41.8,8146839,209.896,76,63,3.342861804649192,9.524566999650077,0.2449144064354386,0.17310859357187244,0.2202686092286107,0.048518260211506396,0.010687049698980353,0.3186781728207449,0.10155577783236855
1973,27.1,14496,77.1,59.6,89,84.66235,44.4,7961659,211.909,119,64,3.299533727885655,9.581628028282761,0.5518638111311047,0.29441610463312506,0.6953969002939608,0.48357684893844893,0.33627784180571835,0.2202686092286107,0.048518260211506396
1974,27,14268,72.3,61.3,128.2,94.0321,49.3,8034339,213.854,76,65,3.295836866004329,9.565774546478782,0.38290004811607453,0.21785576189352138,0.9556674634379253,0.9133003006738782,0.8728113817020997,0.6953969002939608,0.48357684893844893
1975,26.4,14393,81.4,61.9,115.2,91.13194,53.8,8019673,215.973,120,66,3.2733640101522705,9.57449725626267,0.41410180584075595,0.14024671252281168,0.7613962810940522,0.579724296863853,0.441399923692002,0.9556674634379253,0.9133003006738782
1976,28.5,14873,76.9,59.9,107.6,93.86478,56.9,9012071,218.035,184,67,3.349904087274605,9.607302767592598,0.30121053537931314,0.05138116398911849,0.6371253065953988,0.40592865630428093,0.25862741960372326,0.7613962810940522,0.579724296863853
1977,29,15256,77.3,59.5,88,95.25909,60.6,9279454,220.239,180,68,3.367295829986474,9.632728147280256,0.24339906251810747,-0.018318580523684746,0.37304192140293774,0.13916027512399556,0.051912616415216745,0.6371253065953988,0.40592865630428093
1978,30.4,15845,85.6,73.1,92,94.4225,65.2,9902015,222.585,204,69,3.414442608412176,9.670609272125022,0.27222581421508896,0.11436889782312543,0.3443291081164329,0.11856253469625815,0.0408245318279862,0.37304192140293774,0.13916027512399556
1979,32.8,16120,87.2,93.1,104.5,105.5212,72.6,10926345,225.055,210,70,3.490428515390098,9.68781601606062,0.18323940908418365,0.2487092624522711,0.3642221495741153,0.13265777424038921,0.04831689969155226,0.3443291081164329,0.11856253469625815
1980,32.7,16063,94.4,98.4,119.2,115.3371,82.4,11251965,227.726,194,71,3.487375077903208,9.684273769557766,0.13595563623602894,0.17745536714278165,0.3692173177158234,0.13632142770126726,0.05033223188305344,0.3642221495741153,0.13265777424038921
1981,33.7,16265,96.5,99.2,125.9,126.6589,90.9,11868104,229.966,239,72,3.517497837358316,9.696770838907451,0.0597830071615071,0.08737801310739399,0.32572793986686827,0.10609869080991415,0.03455930798008516,0.3692173177158234,0.13632142770126726
1982,33.9,16328,94.8,100.6,100,117.0103,96.5,11995693,232.188,212,73,3.5234150143864045,9.70063670448968,-0.017773599083964163,0.041609249320698566,0.035627177643151035,0.001269295786816641,4.522142647861964e-5,0.32572793986686827,0.10609869080991415
1983,34,16673,96.3,99.1,128.4,124.3165,99.6,12325516,234.307,224,74,3.5263605246161616,9.721545923560459,-0.033693845786472644,-0.005032723254610195,0.2539882266653083,0.06451001928458802,0.016384785400237353,0.035627177643151035,0.001269295786816641
1984,35.3,17799,109,100.3,129.7,130.061,103.9,12920828,236.348,226,75,3.563882963939251,9.786897554926753,0.04791898412396193,-0.03526320313729196,0.2217951932172163,0.04919310773426231,0.010910794834876046,0.2539882266653083,0.06451001928458802
1985,36.4,18229,104.5,98.2,105.9,109.7599,107.6,13519558,238.466,209,76,3.594568774642695,9.810769011532921,-0.02923357632281824,-0.09141443236726372,-0.015925395120323177,2.5361820973841327e-4,-4.038970199793227e-6,0.2217951932172163,0.04919310773426231
1986,37.2,18641,115.4,98.8,83.5,104.4615,109.6,14180145,240.651,278,77,3.616308761279101,9.833118734869245,0.05156697956008415,-0.10373976976009296,-0.27199074265710527,0.07397896409116367,-0.020121593384158927,-0.015925395120323177,2.5361820973841327e-4
1987,39.4,18870,113.3,106.3,67.7,103.1788,113.6,15413103,242.804,326,78,3.673765816303888,9.845328638362595,-0.002644338253090313,-0.06641822093914868,-0.5175973263688216,0.26790699226415243,-0.13866794291143789,-0.27199074265710527,0.07397896409116367
1988,39.6,19522,125.1,112.1,97.1,148.3543,118.3,16006986,245.021,401,79,3.6788291182604347,9.879297313734911,0.05588964648852425,-0.05383244090622693,-0.19748239568706186,0.03899929660630127,-0.007701674523922676,-0.5175973263688216,0.26790699226415243
1989,40.9,19833,137.1,119.3,102.4,143.0559,124,17227111,247.342,583,80,3.711130063048756,9.895102496001687,0.10042902096323189,-0.03864023650116649,-0.19139485299962947,0.03663198975474977,-0.0070111742941942655,-0.19748239568706186,0.03899929660630127
1990,42.4,20058,134.9,128.8,100.9,130.9534,130.7,18429897,249.973,564,81,3.7471483622379123,9.906383355648154,0.03162914258353404,-0.014643806959922881,-0.2587746932706129,0.0669643418772998,-0.017328677029366715,-0.19139485299962947,0.03663198975474977
1991,44.1,19873,131.7,132.4,97,126.6589,136.2,19591105,253.336,667,82,3.7864597824528,9.897117305528285,-0.03359778496617667,-0.028296750212504038,-0.33941341521202906,0.11520146642589324,-0.03910092315704633,-0.2587746932706129,0.0669643418772998
1992,46.5,20220,131.9,132.3,96,125.3761,140.3,20903765,256.677,786,83,3.8394523125933104,9.914427492574463,-0.06173892738514633,-0.0587109159875052,-0.37943479564057914,0.14397076414280804,-0.05462751747074439,-0.33941341521202906,0.11520146642589324
1993,48.2,20235,138,137.1,92.9,131.3995,144.5,22014911,260.037,780,84,3.8753590210565547,9.915169057309965,-0.04602582239528218,-0.05256892098421815,-0.4417558617326939,0.19514824137519496,-0.08620787953431899,-0.37943479564057914,0.14397076414280804
1994,48.8,20507,140.1,136,100.1,136.4748,148.2,23666035,263.226,980,85,3.8877303128591016,9.92852157025577,-0.05620625951902521,-0.08590782712593438,-0.39239302654081165,0.1539722872778581,-0.060417651808370054,-0.4417558617326939,0.19514824137519496
1995,48.2,20798,142.2,134.9,109,138.4826,152.4,24827130,266.364,1183,86,3.8753590210565547,9.942612107220178,-0.06927412588340551,-0.12197488003883568,-0.33516076102340214,0.11233273572978608,-0.03764952519503582,-0.39239302654081165,0.1539722872778581
1996,48.8,21072,152.6,134.5,158.5,174.3442,156.9,26123767,269.485,1291,87,3.8877303128591016,9.955700423983062,-0.02778854088863037,-0.15404446069709318,0.010145933578348306,1.0293996817625566e-4,1.0444220796735784e-6,-0.33516076102340214,0.11233273572978608
1997,49.5,21470,158.5,136.8,110.1,157.7798,160.5,27041394,272.756,1443,88,3.901972669574645,9.974411890872826,-0.012539349252735251,-0.15977393738162032,-0.37690489884143624,0.1420573027706733,-0.0535420933304679,0.010145933578348306,1.0293996817625566e-4
1998,49.8,22359,159.6,136.5,91.7,128.9456,163,27612361,275.955,1543,89,3.9080149840306073,10.014984203549803,-0.021079515791053934,-0.17742558618174786,-0.5752278215443433,0.3308870466786508,-0.19033543503820174,-0.37690489884143624,0.1420573027706733
1999,52.9,22678,161.8,139.2,78.2,102.8999,166.6,29741381,279.144,1674,90,3.9684033388642534,10.029150570531785,-0.02923472510835088,-0.17968398183242304,-0.7563260821814769,0.5720291425879821,-0.43264056030719794,-0.5752278215443433,0.3308870466786508
2000,53.2,23501,162.9,148.1,76.4,NA,172.2,30495171,282.489,1703,91,3.9740583963475986,10.064798252418377,-0.05552007638563086,-0.15076887071987727,-0.8126738958211555,0.6604388609491342,-0.5367214220792192,-0.7563260821814769,0.5720291425879821
2001,53.9,23692,168,160.5,78.8,NA,177.1,NA,286.362,1737,92,3.9871304779149512,10.072892717396856,-0.05275056538552885,-0.09842060221871723,-0.8098015479249545,0.6557785470216524,-0.5310504824741117,-0.8126738958211555,0.6604388609491342
