year,q,y,pchick,pbeef,pcor,pf,cpi,qprod,pop,meatex,time,ln_q,ln_y,ln_pch,ln_pb,z,z_sq,z_cu,z_lag,z_lag_sq
1979,32.8,16120,87.2,93.09999999999999,104.5,105.5212,72.59999999999999,10926345,225.055,210,70,3.490428515390098,9.687816016060619,.1832394090841837,.2487092624522711,.3642221495741153,.1326577742403892,.0483168996915523,.3443291081164329,.1185625346962581
1980,32.7,16063,94.40000000000001,98.40000000000001,119.2,115.3371,82.40000000000001,11251965,227.726,194,71,3.487375077903208,9.684273769557766,.1359556362360289,.1774553671427817,.3692173177158234,.1363214277012673,.0503322318830534,.3642221495741153,.1326577742403892
1981,33.7,16265,96.5,99.2,125.9,126.6589,90.90000000000001,11868104,229.966,239,72,3.517497837358316,9.696770838907451,.0597830071615071,.087378013107394,.3257279398668683,.1060986908099141,.0345593079800852,.3692173177158234,.1363214277012673
1982,33.9,16328,94.8,100.6,100,117.0103,96.5,11995693,232.188,212,73,3.523415014386404,9.70063670448968,-.0177735990839642,.0416092493206986,.035627177643151,.0012692957868166,.0000452214264786,.3257279398668683,.1060986908099141
1983,34,16673,96.3,99.09999999999999,128.4,124.3165,99.59999999999999,12325516,234.307,224,74,3.526360524616162,9.721545923560459,-.0336938457864726,-.0050327232546102,.2539882266653083,.064510019284588,.0163847854002374,.035627177643151,.0012692957868166
1984,35.3,17799,109,100.3,129.7,130.061,103.9,12920828,236.348,226,75,3.563882963939251,9.786897554926753,.0479189841239619,-.035263203137292,.2217951932172163,.0491931077342623,.010910794834876,.2539882266653083,.064510019284588
1985,36.4,18229,104.5,98.2,105.9,109.7599,107.6,13519558,238.466,209,76,3.594568774642695,9.810769011532921,-.0292335763228182,-.0914144323672637,-.0159253951203232,.0002536182097384,-4.03897019979e-06,.2217951932172163,.0491931077342623
1986,37.2,18641,115.4,98.8,83.5,104.4615,109.6,14180145,240.651,278,77,3.616308761279101,9.833118734869245,.0515669795600842,-.103739769760093,-.2719907426571053,.0739789640911637,-.0201215933841589,-.0159253951203232,.0002536182097384
1987,39.4,18870,113.3,106.3,67.7,103.1788,113.6,15413103,242.804,326,78,3.673765816303888,9.845328638362595,-.0026443382530903,-.0664182209391487,-.5175973263688216,.2679069922641524,-.1386679429114379,-.2719907426571053,.0739789640911637
1988,39.6,19522,125.1,112.1,97.09999999999999,148.3543,118.3,16006986,245.021,401,79,3.678829118260435,9.879297313734911,.0558896464885242,-.0538324409062269,-.1974823956870619,.0389992966063013,-.0077016745239227,-.5175973263688216,.2679069922641524
1989,40.9,19833,137.1,119.3,102.4,143.0559,124,17227111,247.342,583,80,3.711130063048756,9.895102496001687,.1004290209632319,-.0386402365011665,-.1913948529996295,.0366319897547498,-.0070111742941943,-.1974823956870619,.0389992966063013
1990,42.4,20058,134.9,128.8,100.9,130.9534,130.7,18429897,249.973,564,81,3.747148362237912,9.906383355648154,.031629142583534,-.0146438069599229,-.2587746932706129,.0669643418772998,-.0173286770293667,-.1913948529996295,.0366319897547498
1991,44.1,19873,131.7,132.4,97,126.6589,136.2,19591105,253.336,667,82,3.7864597824528,9.897117305528285,-.0335977849661767,-.028296750212504,-.3394134152120291,.1152014664258932,-.0391009231570463,-.2587746932706129,.0669643418772998
1992,46.5,20220,131.9,132.3,96,125.3761,140.3,20903765,256.677,786,83,3.83945231259331,9.914427492574463,-.0617389273851463,-.0587109159875052,-.3794347956405791,.143970764142808,-.0546275174707444,-.3394134152120291,.1152014664258932
1993,48.2,20235,138,137.1,92.90000000000001,131.3995,144.5,22014911,260.037,780,84,3.875359021056555,9.915169057309965,-.0460258223952822,-.0525689209842181,-.4417558617326939,.195148241375195,-.086207879534319,-.3794347956405791,.143970764142808
1994,48.8,20507,140.1,136,100.1,136.4748,148.2,23666035,263.226,980,85,3.887730312859102,9.92852157025577,-.0562062595190252,-.0859078271259344,-.3923930265408117,.1539722872778581,-.0604176518083701,-.4417558617326939,.195148241375195
1995,48.2,20798,142.2,134.9,109,138.4826,152.4,24827130,266.364,1183,86,3.875359021056555,9.942612107220178,-.0692741258834055,-.1219748800388357,-.3351607610234021,.1123327357297861,-.0376495251950358,-.3923930265408117,.1539722872778581
1996,48.8,21072,152.6,134.5,158.5,174.3442,156.9,26123767,269.485,1291,87,3.887730312859102,9.955700423983062,-.0277885408886304,-.1540444606970932,.0101459335783483,.0001029399681763,1.04442207967e-06,-.3351607610234021,.1123327357297861
1997,49.5,21470,158.5,136.8,110.1,157.7798,160.5,27041394,272.756,1443,88,3.901972669574645,9.974411890872826,-.0125393492527353,-.1597739373816203,-.3769048988414362,.1420573027706733,-.0535420933304679,.0101459335783483,.0001029399681763
1998,49.8,22359,159.6,136.5,91.7,128.9456,163,27612361,275.955,1543,89,3.908014984030607,10.0149842035498,-.0210795157910539,-.1774255861817479,-.5752278215443433,.3308870466786508,-.1903354350382017,-.3769048988414362,.1420573027706733
1999,52.9,22678,161.8,139.2,78.2,102.8999,166.6,29741381,279.144,1674,90,3.968403338864253,10.02915057053178,-.0292347251083509,-.179683981832423,-.7563260821814769,.5720291425879821,-.4326405603071979,-.5752278215443433,.3308870466786508
2000,53.2,23501,162.9,148.1,76.40000000000001,,172.2,30495171,282.489,1703,91,3.974058396347599,10.06479825241838,-.0555200763856309,-.1507688707198773,-.8126738958211555,.6604388609491342,-.5367214220792192,-.7563260821814769,.5720291425879821
2001,53.9,23692,168,160.5,78.8,,177.1,,286.362,1737,92,3.987130477914951,10.07289271739686,-.0527505653855289,-.0984206022187172,-.8098015479249545,.6557785470216524,-.5310504824741117,-.8126738958211555,.6604388609491342
