year,q,y,pchick,pbeef,pcor,pf,cpi,qprod,pop,meatex,time,ln_q,ln_y,ln_pch,ln_pb,z,z_sq,z_cu,z_lag,z_lag_sq
1982,33.9,16328,94.8,100.6,100.0,117.0103,96.5,11995693.0,232.188,212.0,73,3.5234150143864045,9.70063670448968,-0.017773599083964163,0.041609249320698566,0.035627177643151035,0.001269295786816641,4.522142647861963e-05,0.32572793986686827,0.10609869080991415
1983,34.0,16673,96.3,99.1,128.4,124.3165,99.6,12325516.0,234.307,224.0,74,3.5263605246161616,9.721545923560459,-0.033693845786472644,-0.005032723254610195,0.2539882266653083,0.06451001928458802,0.016384785400237353,0.035627177643151035,0.001269295786816641
1984,35.3,17799,109.0,100.3,129.7,130.061,103.9,12920828.0,236.348,226.0,75,3.563882963939251,9.786897554926753,0.04791898412396193,-0.03526320313729196,0.2217951932172163,0.04919310773426231,0.010910794834876046,0.2539882266653083,0.06451001928458802
1985,36.4,18229,104.5,98.2,105.9,109.7599,107.6,13519558.0,238.466,209.0,76,3.594568774642695,9.810769011532921,-0.02923357632281824,-0.09141443236726372,-0.015925395120323177,0.00025361820973841327,-4.038970199793227e-06,0.2217951932172163,0.04919310773426231
1986,37.2,18641,115.4,98.8,83.5,104.4615,109.6,14180145.0,240.651,278.0,77,3.616308761279101,9.833118734869245,0.05156697956008415,-0.10373976976009296,-0.27199074265710527,0.07397896409116367,-0.020121593384158927,-0.015925395120323177,0.00025361820973841327
1987,39.4,18870,113.3,106.3,67.7,103.1788,113.6,15413103.0,242.804,326.0,78,3.673765816303888,9.845328638362595,-0.002644338253090313,-0.06641822093914868,-0.5175973263688216,0.26790699226415243,-0.13866794291143789,-0.27199074265710527,0.07397896409116367
1988,39.6,19522,125.1,112.1,97.1,148.3543,118.3,16006986.0,245.021,401.0,79,3.6788291182604347,9.879297313734911,0.05588964648852425,-0.05383244090622693,-0.19748239568706186,0.03899929660630127,-0.007701674523922676,-0.5175973263688216,0.26790699226415243
1989,40.9,19833,137.1,119.3,102.4,143.0559,124.0,17227111.0,247.342,583.0,80,3.711130063048756,9.895102496001687,0.10042902096323189,-0.03864023650116649,-0.19139485299962947,0.03663198975474977,-0.0070111742941942655,-0.19748239568706186,0.03899929660630127
1990,42.4,20058,134.9,128.8,100.9,130.9534,130.7,18429897.0,249.973,564.0,81,3.7471483622379123,9.906383355648154,0.03162914258353404,-0.014643806959922881,-0.2587746932706129,0.0669643418772998,-0.017328677029366715,-0.19139485299962947,0.03663198975474977
1991,44.1,19873,131.7,132.4,97.0,126.6589,136.2,19591105.0,253.336,667.0,82,3.7864597824528,9.897117305528285,-0.03359778496617667,-0.028296750212504038,-0.33941341521202906,0.11520146642589324,-0.03910092315704632,-0.2587746932706129,0.0669643418772998
1992,46.5,20220,131.9,132.3,96.0,125.3761,140.3,20903765.0,256.677,786.0,83,3.8394523125933104,9.914427492574463,-0.06173892738514633,-0.0587109159875052,-0.37943479564057914,0.14397076414280804,-0.05462751747074439,-0.33941341521202906,0.11520146642589324
1993,48.2,20235,138.0,137.1,92.9,131.3995,144.5,22014911.0,260.037,780.0,84,3.8753590210565547,9.915169057309965,-0.04602582239528218,-0.05256892098421815,-0.4417558617326939,0.19514824137519496,-0.08620787953431899,-0.37943479564057914,0.14397076414280804
1994,48.8,20507,140.1,136.0,100.1,136.4748,148.2,23666035.0,263.226,980.0,85,3.8877303128591016,9.92852157025577,-0.05620625951902521,-0.08590782712593438,-0.39239302654081165,0.1539722872778581,-0.060417651808370054,-0.4417558617326939,0.19514824137519496
1995,48.2,20798,142.2,134.9,109.0,138.4826,152.4,24827130.0,266.364,1183.0,86,3.8753590210565547,9.942612107220178,-0.06927412588340551,-0.12197488003883568,-0.33516076102340214,0.11233273572978608,-0.03764952519503582,-0.39239302654081165,0.1539722872778581
1996,48.8,21072,152.6,134.5,158.5,174.3442,156.9,26123767.0,269.485,1291.0,87,3.8877303128591016,9.955700423983062,-0.02778854088863037,-0.15404446069709318,0.010145933578348306,0.00010293996817625566,1.0444220796735784e-06,-0.33516076102340214,0.11233273572978608
1997,49.5,21470,158.5,136.8,110.1,157.7798,160.5,27041394.0,272.756,1443.0,88,3.901972669574645,9.974411890872826,-0.012539349252735251,-0.15977393738162032,-0.37690489884143624,0.1420573027706733,-0.053542093330467895,0.010145933578348306,0.00010293996817625566
1998,49.8,22359,159.6,136.5,91.7,128.9456,163.0,27612361.0,275.955,1543.0,89,3.9080149840306073,10.014984203549803,-0.021079515791053934,-0.17742558618174786,-0.5752278215443433,0.3308870466786508,-0.19033543503820174,-0.37690489884143624,0.1420573027706733
1999,52.9,22678,161.8,139.2,78.2,102.8999,166.6,29741381.0,279.144,1674.0,90,3.9684033388642534,10.029150570531785,-0.02923472510835088,-0.17968398183242304,-0.7563260821814769,0.5720291425879821,-0.43264056030719794,-0.5752278215443433,0.3308870466786508
2000,53.2,23501,162.9,148.1,76.4,,172.2,30495171.0,282.489,1703.0,91,3.9740583963475986,10.064798252418377,-0.05552007638563086,-0.15076887071987727,-0.8126738958211555,0.6604388609491342,-0.5367214220792192,-0.7563260821814769,0.5720291425879821
2001,53.9,23692,168.0,160.5,78.8,,177.1,,286.362,1737.0,92,3.9871304779149512,10.072892717396856,-0.05275056538552885,-0.09842060221871723,-0.8098015479249545,0.6557785470216524,-0.5310504824741117,-0.8126738958211555,0.6604388609491342
